gutenberg_id,title,authors,languages,subjects,bookshelves,download_count,copyright
4200,The Diary of Samuel Pepys — Complete,"Pepys, Samuel",en,"Cabinet officers -- Great Britain -- Diaries, Diarists -- Great Britain -- Diaries, Great Britain -- History -- Charles II, 1660-1685 -- Sources","Category: Biographies, Category: History - British",4649,false
26460,English Fairy Tales,"Jacobs, Joseph",en,"Fairy tales -- England, Folklore -- England","",4640,false
71046,"Modern English biography, volume 2 (of 4), I-Q","Boase, Frederic",en,Great Britain -- Biography -- Dictionaries,"Category: Biographies, Category: Encyclopedias/Dictionaries/Reference",4637,false
1515,The Merchant of Venice,"Shakespeare, William",en,"Comedy plays, Jews -- Italy -- Drama, Moneylenders -- Drama","Banned Books from Anne Haight's list, Category: British Literature, Category: Classics of Literature",4610,false
44028,"The Every Day Book of History and Chronology: Embracing the Anniversaries of Memorable Persons and Events in Every Period and State of the World, from the Creation to the Present Time","Munsell, Joel",en,"Chronology, Historical","Category: Encyclopedias/Dictionaries/Reference, Category: History - Other",4596,false
28890,Helps to Latin Translation at Sight,"Luce, Edmund",en,Latin language -- Readers,"Category: History - Ancient, Category: How To ..., Category: Language & Communication",4591,false
14975,Southern Horrors: Lynch Law in All Its Phases,"Wells-Barnett, Ida B.",en,Lynching,"African American Writers, Category: History - American, Category: Politics",4588,false
75201,A farewell to arms,"Hemingway, Ernest",en,"Man-woman relationships -- Fiction, Military deserters -- Fiction, Military hospitals -- Fiction","Category: American Literature, Category: Classics of Literature, Category: History - Warfare",4577,false
20000,Twenty Thousand Leagues Under the Sea,"Verne, Jules",en,"Adventure stories, Science fiction, Sea stories",Science Fiction,4560,false
512,Mosses from an old manse,"Hawthorne, Nathaniel",en,"New England -- Social life and customs -- Fiction, Short stories, American","Category: American Literature, Category: Essays, Letters & Speeches, Gothic Fiction",4558,false
6688,The Mill on the Floss,"Eliot, George",en,"Conflict of generations -- Fiction, Domestic fiction, England -- Fiction","Category: British Literature, Category: Novels, Harvard Classics",4551,false
932,The Fall of the House of Usher,"Poe, Edgar Allan",en,"Gothic fiction, Horror tales, Short stories","Category: American Literature, Category: Science-Fiction & Fantasy, Category: Short Stories",4545,false
29614,The Game of Rat and Dragon,"Linebarger, Paul Myron Anthony",en,"Science fiction, Short stories","Category: Science-Fiction & Fantasy, Category: Short Stories, Science Fiction",4543,false
8775,Poems,"Hugo, Victor",en,"French poetry -- Translations into English, Hugo, Victor, 1802-1885 -- Translations into English","Category: French Literature, Category: Poetry",4539,false
14522,The Canterville Ghost,"Wilde, Oscar",en,"England -- Fiction, Ghosts -- Fiction","Category: British Literature, Category: Humour, Category: Short Stories",4538,false
56463,"Bacon's Essays, and Wisdom of the Ancients","Bacon, Francis",en,"Bacon, Francis, 1561-1626, English essays -- Early modern, 1500-1700, Mythology, Classical","Category: British Literature, Category: Classics of Literature, Category: Essays, Letters & Speeches",4523,false
10148,The Merry Adventures of Robin Hood,"Pyle, Howard",en,"Folklore -- England, Robin Hood (Legendary character) -- Legends","Category: Adventure, Category: British Literature, Category: Classics of Literature",4520,false
10732,The Essays of Arthur Schopenhauer; Studies in Pessimism,"Schopenhauer, Arthur",en,Pessimism,"Category: Essays, Letters & Speeches, Category: Philosophy & Ethics",4517,false
21,Three hundred Aesop’s fables: Translated by George Fyler Townsend,Aesop,en,"Aesop's fables -- Translations into English, Fables, Greek -- Translations into English","Category: Classics of Literature, Category: Mythology, Legends & Folklore",4505,false
20687,Pride and Prejudice,"Austen, Jane",en,"Courtship -- Fiction, Domestic fiction, England -- Fiction","Best Books Ever Listings, Harvard Classics",4505,false
785,On the Nature of Things,"Lucretius Carus, Titus",en,"Didactic poetry, Latin -- Translations into English, Philosophy, Ancient -- Poetry","Category: Classics of Literature, Category: Philosophy & Ethics",4497,false
1094,Tamburlaine the Great — Part 1,"Marlowe, Christopher",en,"English drama, Historical drama, Timur, 1336-1405 -- Drama","Category: British Literature, Category: Classics of Literature, Category: Plays/Films/Dramas",4495,false
75011,All quiet on the Western Front,"Remarque, Erich Maria",en,"War stories, World War, 1914-1918 -- Fiction","Category: German Literature, Category: History - Warfare, Category: Novels",4484,false
28587,"The Roman History of Ammianus Marcellinus: During the Reigns of the Emperors Constantius, Julian, Jovianus, Valentinian, and Valens",Ammianus Marcellinus,en,"Rome -- History -- Empire, 284-476",Category: History - Ancient,4478,false
22964,Sense and Sensibility,"Austen, Jane",en,"Domestic fiction, England -- Fiction, England -- Social life and customs -- 19th century -- Fiction","",4471,false
26458,Age of Innocence,"Wharton, Edith",en,"Domestic fiction, Love stories, Married people -- Fiction","Bestsellers, American, 1895-1923",4470,false
52621,"Society in America, Volume 1 (of 2)","Martineau, Harriet",en,"United States -- Description and travel, United States -- Economic conditions -- To 1865, United States -- Politics and government -- 1815-1861","Category: History - American, Category: Politics, Category: Sociology",4462,false
